timestamp	userId	username	instanceId	activityId	activityTitle	activityType	plane	type	itemId	value	payload
Mon, 30 Nov 2020 11:18:42 GMT		Sahar	6s6ywfF3aJCdYpQdL	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	reactivetext.focus	["form",9,"text"]	"K"	
Mon, 30 Nov 2020 11:18:42 GMT		Sahar	6s6ywfF3aJCdYpQdL	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	progress		0.8181818181818182	
Mon, 30 Nov 2020 11:18:42 GMT		HELIOMOREL	qaQte2MipgdEF5ZTb	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	reactivetext.focus	["form",1,"text"]	"M"	
Mon, 30 Nov 2020 11:18:42 GMT		HELIOMOREL	qaQte2MipgdEF5ZTb	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	progress		0.6363636363636364	
Mon, 30 Nov 2020 11:18:43 GMT		Lisa	Dz9wHmEWxcQubmTwW	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	reactivetext.blur	["form",8,"text"]	"TU"	
Mon, 30 Nov 2020 11:18:43 GMT		Lisa	Dz9wHmEWxcQubmTwW	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	progress		0.9090909090909091	
Mon, 30 Nov 2020 11:18:44 GMT		Emma	PireZZS4EC2YtDzr7	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	reactivetext.focus	["form",5,"text"]	"dk                                d"	
Mon, 30 Nov 2020 11:18:44 GMT		Emma	PireZZS4EC2YtDzr7	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	progress		1	
Mon, 30 Nov 2020 11:18:44 GMT		paula	oXAFHcyBLZPrTwCX5	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	reactivetext.focus	["form",1,"text"]	"ME"	
Mon, 30 Nov 2020 11:18:44 GMT		paula	oXAFHcyBLZPrTwCX5	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	progress		0.9090909090909091	
Mon, 30 Nov 2020 11:18:44 GMT		-SEBI-	MJq483N8WXHz9MzBk	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	reactivetext.blur	["form",1,"text"]	"merci"	
